output_dataset,output_filename_pattern,output_column,column_role,grain,is_calculated,calculation_rule,formula,source_layer,source_datasets,source_columns,depends_on_calculated_outputs,depends_on_calculated_columns,board_reporting_uses,prototype_upload_table,target_calc_engine,coverage_status,gap_or_risk_notes
headcount_plan,{Version}_Headcount_Plan.csv,monthly_payroll_cost,measure,period+department,Y,Monthly payroll cash cost,SUM(workforce fully_loaded_cash_cost) for active employees in department,mixed,workforce_employees; workforce_compensation_bands,fully_loaded_cash_cost;base_salary;department,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,partial,
headcount_plan,{Version}_Headcount_Plan.csv,total_people_cost,measure,period+department,Y,Fully loaded people cost incl taxes/benefits,monthly_payroll_cost * (1 + payroll_tax_rate + benefits_rate),mixed,headcount_plan,monthly_payroll_cost;payroll_tax_rate;benefits_rate,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,complete,
headcount_plan,{Version}_Headcount_Plan.csv,quota_capacity,measure,period+department,Y,Sales quota capacity,SUM(annual_quota_arr) for quota_carrying reps in period,mixed,workforce_employees; forecast_quota_capacity,quota_carrying;annual_quota_arr,headcount_plan,,Workforce tab; Cash bridge payroll,{version}_headcount_plan,FIE-003,partial,
marketing_pipeline,{Version}_MarketingPipeline.csv,period,key,period+marketing_channel,N,,,mixed,,,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,complete,
marketing_pipeline,{Version}_MarketingPipeline.csv,marketing_channel,key,period+marketing_channel,N,,,mixed,,,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,complete,
marketing_pipeline,{Version}_MarketingPipeline.csv,marketing_spend,measure,period+marketing_channel,Y,Channel spend,SUM(gl_actuals marketing accounts) OR external ad export,mixed,gl_actuals,amount;department;marketing_channel,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,partial,No dedicated ad platform source template
marketing_pipeline,{Version}_MarketingPipeline.csv,mqls,measure,period+marketing_channel,Y,Marketing qualified leads,COUNT/aggregate from CRM/marketing system,mixed,CRM_Pipeline_Export,stage;marketing_channel,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,gap,MQL definition not in CRM export template
marketing_pipeline,{Version}_MarketingPipeline.csv,sqls,measure,period+marketing_channel,Y,Sales qualified leads,COUNT CRM leads at SQL stage,mixed,CRM_Pipeline_Export,stage,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,gap,
marketing_pipeline,{Version}_MarketingPipeline.csv,pipeline_arr_created,measure,period+marketing_channel,Y,Pipeline ARR created,SUM(opportunity amount_arr created in period),mixed,opportunities; CRM_Opportunity_Export,amount_arr;created_date,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,complete,
marketing_pipeline,{Version}_MarketingPipeline.csv,closed_won_arr,measure,period+marketing_channel,Y,Closed won ARR,SUM(opportunity_movements.arr_impact WHERE close_status=Closed Won),mixed,opportunity_movements,arr_impact;close_status,,,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,complete,
marketing_pipeline,{Version}_MarketingPipeline.csv,cost_per_mql,rate,period+marketing_channel,Y,Cost per MQL,marketing_spend / mqls,mixed,marketing_pipeline,marketing_spend;mqls,marketing_pipeline,marketing_spend;mqls,GTM/Marketing tab,{version}_marketing_pipeline,FIE-003,partial,Depends on mqls gap
